name,content,mode,mbtree,crf,bytes,psnr_y
relax_25p_prog_mb1_crf18,relax_25p,prog,1,18,8747971,44.540263
relax_25p_prog_mb1_crf23,relax_25p,prog,1,23,5236899,40.750700
relax_25p_prog_mb1_crf28,relax_25p,prog,1,28,2305099,36.362797
relax_25p_prog_mb1_crf33,relax_25p,prog,1,33,864352,32.674177
relax_25p_prog_mb0_crf18,relax_25p,prog,0,18,9181745,44.010102
relax_25p_prog_mb0_crf23,relax_25p,prog,0,23,5192821,39.872509
relax_25p_prog_mb0_crf28,relax_25p,prog,0,28,2202817,35.654280
relax_25p_prog_mb0_crf33,relax_25p,prog,0,33,876593,32.190326
amv_p_prog_mb1_crf18,amv_p,prog,1,18,3943225,46.555584
amv_p_prog_mb1_crf23,amv_p,prog,1,23,2483474,43.543466
amv_p_prog_mb1_crf28,amv_p,prog,1,28,1572392,40.369882
amv_p_prog_mb1_crf33,amv_p,prog,1,33,993973,37.117784
amv_p_prog_mb0_crf18,amv_p,prog,0,18,4652856,46.506914
amv_p_prog_mb0_crf23,amv_p,prog,0,23,2896412,43.400987
amv_p_prog_mb0_crf28,amv_p,prog,0,28,1833822,40.122159
amv_p_prog_mb0_crf33,amv_p,prog,0,33,1163498,36.819950
